g) | Temp = 33.12 degC 
Gyro: X =   -0.01863, Y =    0.09924, Z =    0.06366 (dps) | Acc: X = 0.00207, Y = 0.00476, Z = 0.99936 (g) | Temp = 33.12 degC 
Gyro: X =   -0.11786, Y =    0.07634, Z =   -0.27221 (dps) | Acc: X = 0.00304, Y = -0.00305, Z = 0.99667 (g) | Temp = 33.32 degC 
Gyro: X =    0.14931, Y =   -0.07634, Z =    0.04076 (dps) | Acc: X = -0.00086, Y = 0.00134, Z = 0.99545 (g) | Temp = 33.17 degC 
Gyro: X =    0.01954, Y =    0.09924, Z =   -0.11954 (dps) | Acc: X = -0.00135, Y = 0.00012, Z = 0.99813 (g) | Temp = 33.17 degC 
Gyro: X =    0.09588, Y =   -0.03817, Z =    0.05603 (dps) | Acc: X = 0.00109, Y = 0.00037, Z = 0.99960 (g) | Temp = 33.32 degC 
Gyro: X =   -0.13313, Y =    0.24427, Z =   -0.02794 (dps) | Acc: X = -0.00160, Y = 0.00159, Z = 1.00009 (g) | Temp = 33.17 degC 
Gyro: X =    0.01191, Y =   -0.08397, Z =   -0.08901 (dps) | Acc: X = -0.00184, Y = -0.00403, Z = 1.00082 (g) | Temp = 33.17 degC 
Gyro: X =   -0.03389, Y =   -0.07634, Z =    0.24687 (dps) | Acc: X = 0.00402, Y = -0.00061, Z = 1.00058 (g) | Temp = 33.41 degC 
Gyro: X =    0.20275, Y =   -0.03053, Z =    0.23160 (dps) | Acc: X = -0.00526, Y = 0.00037, Z = 0.99740 (g) | Temp = 33.22 degC 
Gyro: X =   -0.13313, Y =    0.02290, Z =   -0.05847 (dps) | Acc: X = -0.00160, Y = 0.00183, Z = 0.99984 (g) | Temp = 33.32 degC 
Gyro: X =   -0.12550, Y =    0.14504, Z =   -0.11954 (dps) | Acc: X = -0.00355, Y = -0.00208, Z = 0.99350 (g) | Temp = 33.17 degC 
Gyro: X =   -0.11786, Y =   -0.09924, Z =    0.11710 (dps) | Acc: X = -0.00306, Y = 0.00037, Z = 1.00839 (g) | Temp = 33.17 degC 
Gyro: X =    0.06534, Y =    0.11450, Zps) | Acc: X = -00452, Z = 1.000 =    0.10183 (d0.00038, Y = 0.09 (g) | Temp = 33.32 degC 
Gyro: X =   -0.13313, Y =   -0.06107, Z =    0.01786 (dps) | Acc: X = -0.00013, Y = 0.00183, Z = 1.00082 (g) | Temp = 33.32 degC 
Gyro: X =   -0.12550, Y =   -0.18321, Z =    0.07130 (dps) | Acc: X = -0.00160, Y = 0.00330, Z = 0.99521 (g) | Temp = 33.32 degC 
Gyro: X =   -0.04153, Y =    0.26718, Z =    0.14000 (dps) | Acc: X = -0.00062, Y = 0.00183, Z = 1.00033 (g) | Temp = 33.17 degC 
Gyro: X =    0.06534, Y =   -0.02290, Z =   -0.21878 (dps) | Acc: X = 0.00158, Y = -0.00012, Z = 1.00644 (g) | Temp = 33.12 degC 
