-0.03, 100.58, 796.73, 147.24, 5.58, 0.06, 0.01, 0.01, 0.06, 0.01, 0.01, 78.09, 14.58, 0.88, 0.00, 
-0.03, 100.55, 796.17, 146.59, 5.73, 0.07, 0.02, 0.01, 0.07, 0.02, 0.01, 78.16, 14.56, 0.87, 0.00, 
-0.03, 100.55, 796.96, 147.27, 5.26, 0.06, 0.02, 0.01, 0.07, 0.02, 0.01, 78.22, 14.57, 0.85, 0.00, 
-0.03, 100.55, 796.70, 147.03, 4.59, 0.06, 0.01, 0.01, 0.06, 0.01, 0.02, 78.28, 14.57, 0.83, 0.00, 
-0.03, 100.56, 796.61, 147.82, 4.76, 0.06, 0.02, 0.02, 0.07, 0.02, 0.02, 78.34, 14.61, 0.82, 0.00, 
-0.03, 100.55, 796.35, 147.21, 5.35, 0.07, 0.01, 0.01, 0.07, 0.01, 0.01, 78.40, 14.61, 0.81, 0.00, 
-0.03, 100.55, 796.67, 147.38, 4.59, 0.06, 0.01, 0.01, 0.06, 0.01, 0.01, 78.45, 14.62, 0.79, 0.00, 
-0.03, 100.54, 796.78, 147.03, 4.97, 0.06, 0.01, 0.01, 0.06, 0.02, 0.01, 78.51, 14.60, 0.77, 0.00, 
-0.03, 100.53, 796.58, 147.18, 5.29, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 78.55, 14.61, 0.77, 0.00, 
-0.03, 100.53, 796.49, 147.21, 5.58, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 78.60, 14.61, 0.76, 0.00, 
-0.03, 100.51, 796.70, 146.54, 4.88, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 78.65, 14.59, 0.75, 0.00, 
-0.03, 100.52, 796.55, 147.30, 4.85, 0.07, 0.01, 0.01, 0.07, 0.01, 0.01, 78.69, 14.61, 0.74, 0.00, 
-0.03, 100.52, 796.43, 147.12, 5.32, 0.07, 0.02, 0.01, 0.07, 0.02, 0.02, 78.73, 14.62, 0.73, 0.00, 
-0.03, 100.53, 796.17, 147.73, 5.09, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 78.77, 14.65, 0.72, 0.00, 
-0.03, 100.53, 796.52, 147.38, 5.03, 0.06, 0.01, 0.01, 0.07, 0.01, 0.01, 78.81, 14.65, 0.71, 0.00, 
-0.03, 100.52, 795.97, 147.09, 4.79, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 78.84, 14.64, 0.70, 0.00, 
